id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude
13047830,jg230285,2023-04-19t22:00:00.000,012xx w 78th st,031a,robbery,armed - handgun,street,False,False,0612,006,71,03,1169543,1853064,2023,2023-04-26t16:53:52.000,41.752310102,-87.65426864
13047869,jg230256,2023-04-19t22:00:00.000,018xx w maypole ave,051a,assault,aggravated - handgun,street,False,False,1223,012,28,04a,1164094,1901067,2023,2023-04-26t16:53:52.000,41.884152048,-87.672884839
13052115,jg235291,2023-04-19t22:00:00.000,010xx n central ave,0486,battery,domestic battery simple,residence,False,True,1524,015,25,08b,1138828,1906257,2023,2023-04-26t16:53:52.000,41.898890167,-87.765539335
13048175,jg230600,2023-04-19t22:00:00.000,057xx s morgan st,0820,theft,$500 and under,street,False,False,0712,007,68,06,1170624,1866784,2023,2023-04-26t16:53:52.000,41.789935982,-87.649907722
13047965,jg230434,2023-04-19t22:00:00.000,027xx n avers ave,1305,criminal damage,criminal defacement,residence - garage,False,False,2524,025,22,14,1150249,1917966,2023,2023-04-26t16:53:52.000,41.930805676,-87.723284167
13048747,jg231100,2023-04-19t22:00:00.000,029xx n broadway,0890,theft,from building,apartment,False,False,1934,019,6,06,1171746,1919697,2023,2023-04-26t16:53:52.000,41.935108718,-87.644236398
13049541,jg230180,2023-04-19t21:54:00.000,085xx s ashland ave,031a,robbery,armed - handgun,street,False,False,0614,006,71,03,1167159,1848187,2023,2023-04-26t16:53:52.000,41.738978222,-87.663144179
13047783,jg230194,2023-04-19t21:50:00.000,029xx n lakewood ave,0910,motor vehicle theft,automobile,street,False,False,1933,019,6,07,1167117,1919816,2023,2023-04-26t16:53:52.000,41.935536099,-87.661244613
13047998,jg230507,2023-04-19t21:50:00.000,048xx w catalpa ave,0810,theft,over $500,residence - garage,False,False,1621,016,12,06,1142995,1935848,2023,2023-04-26t16:53:52.000,41.980013978,-87.749493687
13047755,jg230179,2023-04-19t21:45:00.000,027xx w summerdale ave,1310,criminal damage,to property,apartment,False,False,2011,020,4,14,1157222,1935423,2023,2023-04-26t16:53:52.000,41.97856974,-87.69718357
13050053,jg232958,2023-04-19t21:45:00.000,025xx w cortland st,0920,motor vehicle theft,attempt - automobile,street,False,False,1434,014,22,07,1159199,1912539,2023,2023-04-26t16:53:52.000,41.915734141,-87.690544205
13047761,jg230182,2023-04-19t21:44:00.000,060xx w 64th pl,4387,other offense,violate order of protection,apartment,False,True,0812,008,64,26,1137167,1861140,2023,2023-04-26t16:53:52.000,41.775112147,-87.772721778
13048047,jg230516,2023-04-19t21:44:00.000,027xx w summerdale ave,0890,theft,from building,apartment,False,False,2011,020,4,06,1157188,1935422,2023,2023-04-26t16:53:52.000,41.978567689,-87.697308633
13048313,jg230840,2023-04-19t21:40:00.000,061xx s kedvale ave,0281,criminal sexual assault,non-aggravated,apartment,False,True,0813,008,65,02,1149755,1863628,2023,2023-04-26t16:53:52.000,41.781705169,-87.72651074
13048283,jg230181,2023-04-19t21:40:00.000,046xx n broadway,0460,battery,simple,cta train,False,False,1913,019,3,08b,1167942,1930944,2023,2023-04-26t16:53:52.000,41.966053999,-87.657890403
13048900,jg230169,2023-04-19t21:37:00.000,007xx e 131st st,1320,criminal damage,to vehicle,cta bus,False,False,0533,005,54,14,1183449,1818549,2023,2023-04-26t16:53:52.000,41.657284072,-87.604380182
13047757,jg230172,2023-04-19t21:34:00.000,051xx w diversey ave,0312,robbery,armed - knife / cutting instrument,drug store,False,False,2521,025,19,03,1141596,1918129,2023,2023-04-26t16:53:52.000,41.931417509,-87.755078443
13048200,jg230151,2023-04-19t21:31:00.000,020xx w 70th st,0486,battery,domestic battery simple,residence,False,True,0735,007,67,08b,1163891,1858231,2023,2023-04-26t16:53:52.000,41.766609631,-87.674835899
13048468,jg231123,2023-04-19t21:30:00.000,040xx w 26th st,0860,theft,retail theft,small retail store,False,False,1031,010,30,06,1149939,1886420,2023,2023-04-26t16:53:52.000,41.844246118,-87.725244851
13047754,jg230175,2023-04-19t21:30:00.000,060xx w foster ave,0620,burglary,unlawful entry,residence,False,False,1622,016,11,05,1135005,1934210,2023,2023-04-26t16:53:52.000,41.97566484,-87.7789173
13047697,jg230132,2023-04-19t21:17:00.000,079xx s drexel ave,0560,assault,simple,apartment,False,True,0624,006,44,08a,1183612,1852466,2023,2023-04-26t16:53:52.000,41.750352846,-87.602730854
13049703,jg232071,2023-04-19t21:15:00.000,060xx n bernard st,1360,criminal trespass,to vehicle,street,False,False,1711,017,13,26,1152283,1939943,2023,2023-04-26t16:53:52.000,41.991072085,-87.715227037
13048751,jg231307,2023-04-19t21:07:00.000,032xx n clark st,0860,theft,retail theft,department store,False,False,1924,019,6,06,1169868,1921628,2023,2023-04-26t16:53:52.000,41.94044868,-87.651081589
13049692,jg231727,2023-04-19t21:05:00.000,033xx w 66th st,0810,theft,over $500,street,False,False,0831,008,66,06,1155308,1860663,2023,2023-04-26t16:53:52.000,41.773459423,-87.706231143
