id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,crime_rating
13047996,jg230468,2023-04-19t22:30:00.000,015xx e 73rd st,0920,motor vehicle theft,attempt - automobile,street,False,False,324,3,43,07,1187662.0,1856891.0,2023,2023-04-26t16:53:52.000,41.762400126,-87.587749478,4
13047818,jg230232,2023-04-19t22:30:00.000,031xx w marquette rd,1320,criminal damage,to vehicle,street,False,True,831,8,66,14,1156689.0,1860033.0,2023,2023-04-26t16:53:52.000,41.771702863,-87.701185639,5
13047802,jg230244,2023-04-19t22:30:00.000,009xx s kilpatrick ave,1506,prostitution,solicit on public way,street,True,False,1131,11,25,16,1145194.0,1895540.0,2023,2023-04-26t16:53:52.000,41.869363464,-87.742428042,4
13047834,jg230221,2023-04-19t22:30:00.000,054xx s archer ave,0810,theft,over $500,vehicle non-commercial,False,True,814,8,56,06,1144385.0,1869609.0,2023,2023-04-26t16:53:52.000,41.798220324,-87.746048994,4
13047801,jg230243,2023-04-19t22:27:00.000,047xx w polk st,1506,prostitution,solicit on public way,street,True,False,1131,11,25,16,1145014.0,1895946.0,2023,2023-04-26t16:53:52.000,41.870480977,-87.743078629,4
13047921,jg230352,2023-04-19t22:26:00.000,123xx s state st,0910,motor vehicle theft,automobile,street,False,False,532,5,53,07,1178487.0,1823095.0,2023,2023-04-26t16:53:52.000,41.669872733,-87.622399656,4
13047781,jg230173,2023-04-19t22:21:00.000,039xx n kilpatrick ave,502p,other offense,false / stolen / altered trp,street,True,False,1731,17,15,26,1144400.0,1925798.0,2023,2023-04-26t16:53:52.000,41.952409587,-87.74458055,4
13048844,jg230187,2023-04-19t22:11:00.000,007xx w diversey pkwy,0486,battery,domestic battery simple,apartment,False,True,1934,19,6,08b,1170960.0,1918833.0,2023,2023-04-26t16:53:52.000,41.932755165,-87.647150367,5
13047777,jg230176,2023-04-19t22:10:00.000,114xx s loomis st,143a,weapons violation,unlawful possession - handgun,street,True,False,2234,22,75,15,1169055.0,1828675.0,2023,2023-04-26t16:53:52.000,41.685393553,-87.656759314,5
13047773,jg230170,2023-04-19t22:10:00.000,009xx e 80th st,502p,other offense,false / stolen / altered trp,street,False,False,631,6,44,26,1184083.0,1852160.0,2023,2023-04-26t16:53:52.000,41.749502163,-87.601014459,4
